30	1
31	1
32	1
33	1
34	2
35	1
36	1
37	0
38	0
39	1
40	1
41	0
42	2
43	2
44	2
46	0
47	0
48	0
49	0
50	0
51	0
52	0
55	0
56	0
57	2
58	0
59	2
61	1
71	2
72	2
73	2
75	2
76	2
83	2
84	2
85	2
86	2
87	2
105	2
106	2
107	2
124	2
125	2
129	1
131	1
134	2
135	2
136	2
137	2
138	2
143	2
144	1
145	0
146	0
147	0
148	0
149	0
150	1
151	1
152	1
153	1
158	2
159	2
168	2
169	2
170	2
171	2
177	2
194	2
195	2
196	2
197	0
198	0
199	1
200	1
203	2
212	2
226	2
228	1
229	2
230	2
237	1
238	1
239	1
240	2
241	2
242	2
243	2
257	2
258	2
259	2
261	2
269	3
271	2
272	2
274	2
275	2
276	1
283	2
286	2
304	2
305	2
306	2
307	1
308	0
310	2
314	1
316	2
318	3
322	2
325	0
330	2
331	2
332	1
333	3
334	2
335	2
336	2
338	2
351	2
354	2
355	2
357	2
358	2
359	2
360	2
361	2
376	0
377	1
378	3
380	3
396	2
397	2
401	2
406	0
407	0
408	0
409	1
410	1
411	1
412	2
413	2
414	2
415	2
416	2
417	2
427	2
431	2
180	2
270	2
341	2
429	1
428	0
348	0
349	1
350	2
430	2
436	2
